Pergunta,Assunto
Oi,saudacao
Olá,saudacao
"Oi, tudo bem?",saudacao
"Oi, como vai?",saudacao
"Oi, como você está?",saudacao
Como vão as coisas?,saudacao
Tudo bem?,saudacao
Eai?,saudacao
Beleza?,saudacao
Como você vai?,saudacao
Tudo certo?,saudacao
Olá! Tudo bem?,saudacao
"Opa, eai?",saudacao
Bom dia,bom dia
"Oi, bom dia",bom dia
"Oi, bom dia, tudo bem?",bom dia
Bon dia,bom dia
Bomdia,bom dia
"Bom dia, tudo certo?",bom dia
Bom dia senhor,bom dia
Bom dia senhora,bom dia
Boa tarde,boa tarde
"Oi, boa tarde",boa tarde
"Oi, boa tarde, tudo bem?",boa tarde
Bom tarde,boa tarde
Boatarde,boa tarde
"Boa tarde, tudo certo?",boa tarde
Boa tarde senhor,boa tarde
Boa tarde senhora,boa tarde
Boa noite,boa noite
"Oi, boa noite",boa noite
"Oi, boa noite, tudo bem?",boa noite
Bom noite,boa noite
Boanoite,boa noite
"Boa noite, tudo certo?",boa noite
Boa noite senhor,boa noite
Boa noite senhora,boa noite